BATCH,ANIMAL.ID,STRAIN,TREATMENT,ImbTime,MobileTime,TotalTime,PctImb
2,24,C57BL/6J,OVX,117.116764,241.741018,358.857782,32.6359828
2,26,CBA/J,OVX,4.204191,354.853791,359.057982,1.170894733
2,28,CBA/J,OVX,47.347204,311.610678,358.957882,13.19018369
2,30,DBA/2J,OVX,53.453298,305.404484,358.857782,14.89539887
2,31,DBA/2J,OVX,8.208185,350.849797,359.057982,2.28603329
2,34,FVB/NJ,OVX,3.803792,355.25419,359.057982,1.059380989
2,36,FVB/NJ,OVX,1.000998,358.056984,359.057982,0.2787845
2,38,LP/J,OVX,10.610578,348.447404,359.057982,2.955115478
2,40,LP/J,OVX,122.321957,236.335625,358.657582,34.10549871
2,42,NOD/ShiLtJ,OVX,106.005682,253.0523,359.057982,29.52327683
2,43,NOD/ShiLtJ,OVX,94.694407,264.063275,358.757682,26.39508831
3,46,C57BL/6J,OVX,198.898302,160.05958,358.957882,55.40992745
3,48,C57BL/6J,OVX,87.48722,271.470663,358.957883,24.37255849
3,49,PL/J,OVX,75.97575,282.781932,358.757682,21.17745593
3,55,SJL/J,OVX,22.322256,336.435426,358.757682,6.222098402
3,56,SJL/J,OVX,41.641514,317.216269,358.857783,11.60390438
3,58,SM/J,OVX,5.605592,353.35229,358.957882,1.56162945
3,60,SM/J,OVX,7.307284,351.750698,359.057982,2.03512646
4,84,129S1/SvlmJ,OVX,22.522459,336.335323,358.857782,6.27615176
4,86,129S1/SvlmJ,OVX,17.016966,341.740716,358.757682,4.743303587
4,72,NON/ShiLtJ,OVX,132.231835,226.325647,358.557482,36.87883858
4,73,NON/ShiLtJ,OVX,66.966763,291.790919,358.757682,18.66629381
4,76,NZW/LacJ,OVX,132.93253,225.825153,358.757683,37.05357022
4,78,NZW/LacJ,OVX,58.558384,300.299398,358.857782,16.31799196
5,88,A/J,OVX,193.593011,165.364871,358.957882,53.93195712
5,89,A/J,OVX,123.723352,235.13443,358.857782,34.47698732
5,91,AKR/J,OVX,222.421753,136.53613,358.957883,61.96318943
5,94,AKR/J,OVX,212.111481,146.546103,358.657584,59.14038639
5,102,MRL/MpJ,OVX,179.37884,179.579043,358.957883,49.9721133
5,103,MRL/MpJ,OVX,174.974443,183.983439,358.957882,48.74511796
6,122,C57BL/6J,OVX,101.401101,257.456681,358.857782,28.25662591
6,109,CBA/J,OVX,0.1001,358.957882,359.057982,0.027878506
6,112,CBA/J,OVX,0,359.057982,359.057982,0
6,115,DBA/2J,OVX,1.501497,357.556485,359.057982,0.41817675
6,116,DBA/2J,OVX,15.215167,343.842815,359.057982,4.237523677
6,118,LP/J,OVX,48.047903,310.70978,358.757683,13.39285687
6,119,LP/J,OVX,97.196908,261.360575,358.557483,27.10776169
6,124,NOD/ShiLtJ,OVX,1.601598,357.456384,359.057982,0.446055534
6,126,NOD/ShiLtJ,OVX,1.201198,357.856784,359.057982,0.334541511
7,136,NOR/LtJ,OVX,120.319959,238.037325,358.357284,33.57541883
7,141,PL/J,OVX,12.312278,346.645604,358.957882,3.430006309
7,143,SJL/J,OVX,108.908582,249.849101,358.757683,30.35714276
7,144,SJL/J,OVX,32.432333,326.32535,358.757683,9.040177963
7,149,SM/J,OVX,37.137027,322.021055,359.158082,10.34002264
7,150,SM/J,OVX,5.605591,353.552491,359.158082,1.560758697
8,161,129S1/SvlmJ,OVX,67.767561,291.090221,358.857782,18.88423894
8,163,129S1/SvlmJ,OVX,72.672458,286.085224,358.757682,20.25669739
8,153,A/J,OVX,38.238121,320.719761,358.957882,10.65253695
8,154,A/J,OVX,84.584328,273.973158,358.557486,23.59017209
8,155,C57BL/6J,OVX,92.992717,265.764966,358.757683,25.92075972
9,169,BALB/cByJ,OVX,173.773257,185.184625,358.957882,48.4104865
9,171,BALB/cByJ,OVX,123.022657,235.634925,358.657582,34.30086611
9,181,BTBR T+tf/J,OVX,15.014974,343.942908,358.957882,4.182934754
10,197,DBA/2J,OVX,66.86667,292.791911,359.658581,18.59170712
10,198,DBA/2J,OVX,33.933833,325.524549,359.458382,9.440267552
10,206,LP/J,OVX,152.051602,206.405781,358.457383,42.41832062
11,220,129S1/SvlmJ,OVX,87.086825,271.971157,359.057982,24.25425123
11,222,129S1/SvlmJ,OVX,88.087826,270.870056,358.957882,24.53987791
11,217,C57BL/6J,OVX,68.067864,290.890018,358.957882,18.9626325
11,223,SJL/J,OVX,67.166961,291.590722,358.757683,18.72209689
11,224,SJL/J,OVX,111.010681,247.747001,358.757682,30.94308124
12,241,BALB/cByJ,OVX,103.703394,254.954189,358.657583,28.91431798
12,242,BALB/cByJ,OVX,174.273753,184.584029,358.857782,48.56345933
